태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
매계마을 태양광발전소,,"경상남도 하동군 악양면 매계리 593-2, 594, 595-2",,,,정상가동,30.0,380,60,2023,,,경상남도 하동군청,,2023-12-27
잼 태양광발전소,,경상남도 하동군 하동읍 화심리 715-7,35.0892922118591,127.725779141059,,정상가동,19.8,220,60,2023,,,경상남도 하동군청,,2023-12-27
금성ENG태양광발전소,,"경상남도 하동군 금성면 궁항리 102-5, 102-8",,,,정상가동,84.7,380,60,2023,,,경상남도 하동군청,,2023-12-27
용ENG태양광발전소,,"경상남도 하동군 금성면 궁항리 102-5, 102-8",,,,정상가동,84.7,380,60,2023,,,경상남도 하동군청,,2023-12-27
춘석1 태양광발전소,,경상남도 하동군 고전면 대덕리 128-1,35.0095919410813,127.824782787618,,정상가동,14.55,380,60,2023,,,경상남도 하동군청,,2023-12-27
진주3호 태양광발전소,,경상남도 하동군 양보면 통정리 242,35.0713798852778,127.857646613387,,정상가동,19.64,380,60,2023,,,경상남도 하동군청,,2023-12-27
국현 태양광발전소,,경상남도 하동군 하동읍 두곡리 109,35.0927134725339,127.742654500425,,정상가동,60.6,380,60,2023,,,경상남도 하동군청,,2023-12-27
용수 태양광발전소,,경상남도 하동군 양보면 감당리 146,35.0784581235137,127.837302362177,,정상가동,23.04,380,60,2023,,,경상남도 하동군청,,2023-12-27
찬유 태양광발전소,,경상남도 하동군 금성면 가덕리 872,34.9729149341368,127.80022247485,,정상가동,19.68,380,60,2023,,,경상남도 하동군청,,2023-12-27
영일2호 태양광발전소,,경상남도 하동군 진교면 양포리 191-21,35.0089909658332,127.910371808486,,정상가동,19.47,380,60,2023,,,경상남도 하동군청,,2023-12-27
영일1호 태양광발전소,,경상남도 하동군 진교면 양포리 191-18,35.0091840583998,127.910488647568,,정상가동,15.93,380,60,2023,,,경상남도 하동군청,,2023-12-27
금오마을 태양광발전소,,경상남도 하동군 금남면 진정리 204-8,34.977144967461,127.830100976208,,정상가동,8.28,220,60,2023,,,경상남도 하동군청,,2023-12-27
영계마을 태양광발전소,,"경상남도 하동군 양보면 감당리 128-3, 129-3",,,,정상가동,15.18,380,60,2023,,,경상남도 하동군청,,2023-12-27
구통마을 태양광발전소,,경상남도 하동군 하동읍 목도리 101-2,35.0384018296563,127.779853305338,,정상가동,19.32,380,60,2023,,,경상남도 하동군청,,2023-12-27
밤골4호 태양광발전소,,"경상남도 하동군 적량면 관리 736, 752, 962-6",,,,정상가동,19.4,380,60,2023,,,경상남도 하동군청,,2023-12-27
하동스카이파워,,경상남도 하동군 양보면 지례리 197-2,35.0340551796483,127.865061059419,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
대경하동1 태양광발전소,,경상남도 하동군 양보면 지례리 197-2,35.0340551796483,127.865061059419,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
보화2호발전소,,경상남도 하동군 양보면 지례리 197-2,35.0340551796483,127.865061059419,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
하동솔라TEC,,경상남도 하동군 양보면 지례리 197-2,35.0340551796483,127.865061059419,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
금영3호발전소,,경상남도 하동군 양보면 지례리 197-2,35.0340551796483,127.865061059419,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
온그린발전소,,경상남도 하동군 양보면 지례리 197-2,35.0340551796483,127.865061059419,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
대경1호 태양광발전소,,경상남도 하동군 양보면 지례리 196-1,35.0338613627861,127.867451127715,,정상가동,49.98,380,60,2023,,,경상남도 하동군청,,2023-12-27
옐로우에너지,,경상남도 하동군 양보면 지례리 196-1,35.0338613627861,127.867451127715,,정상가동,99.96,380,60,2023,,,경상남도 하동군청,,2023-12-27
강변 태양광발전소,,경상남도 하동군 고전면 전도리 1094,35.0068513568927,127.787659598521,,정상가동,39.53,380,60,2023,,,경상남도 하동군청,,2023-12-27
지산이엔씨1호 태양광발전소,,경상남도 하동군 진교면 송원리 610-12,35.0366800955915,127.906491812132,,정상가동,30.68,380,60,2023,,,경상남도 하동군청,,2023-12-27
소은숙 태양광발전소,,경상남도 하동군 진교면 양포리 823,35.0017461479546,127.909866859568,,정상가동,99.71,380,60,2023,,,경상남도 하동군청,,2023-12-27
주포발전소,,경상남도 하동군 옥종면 청룡리 189-1,35.1795307613788,127.881725156496,,정상가동,17.85,380,60,2023,,,경상남도 하동군청,,2023-12-27
동기 태양광발전소,,"경상남도 하동군 양보면 운암리 102, 103-3",,,,정상가동,94.99,380,60,2023,,,경상남도 하동군청,,2023-12-27
악양 태양광발전소,경상남도 하동군 악양면 악양동로 346-34,,35.1602890481068,127.714272244843,,정상가동,19.4,380,60,2023,,,경상남도 하동군청,,2023-12-27
이점희2호 태양광발전소,경상남도 하동군 진교면 이곡길 76-56,,35.0461105374957,127.925944212111,,정상가동,29.4,380,60,2023,,,경상남도 하동군청,,2023-12-27
성2호 태양광발전소,,경상남도 하동군 진교면 고이리 172-6,35.0461078188151,127.921127268181,,정상가동,29.4,380,60,2023,,,경상남도 하동군청,,2023-12-27
햇님 태양광발전소,,"경상남도 하동군 횡천면 월평리 175, 177",,,,정상가동,99.84,380,60,2023,,,경상남도 하동군청,,2023-12-27
꼭지3호 태양광발전소,,"경상남도 하동군 북천면 사평리 62-3, 63-2",,,,정상가동,99.91,380,60,2023,,,경상남도 하동군청,,2023-12-27
꼭지2호 태양광발전소,,"경상남도 하동군 북천면 사평리 62-3, 63-2",,,,정상가동,99.91,380,60,2023,,,경상남도 하동군청,,2023-12-27
꼭지1호 태양광발전소,,"경상남도 하동군 북천면 사평리 62-3, 63, 63-2",,,,정상가동,99.91,380,60,2023,,,경상남도 하동군청,,2023-12-27
파크 태양광발전소,,경상남도 하동군 고전면 성천리 595,35.0378640060495,127.823902842102,,정상가동,99.76,380,60,2023,,,경상남도 하동군청,,2023-12-27
골드 태양광발전소,,경상남도 하동군 고전면 성천리 595,35.0378640060495,127.823902842102,,정상가동,99.76,380,60,2023,,,경상남도 하동군청,,2023-12-27
미르 태양광발전소,,경상남도 하동군 고전면 성천리 668-1,35.035983466838,127.822835981824,,정상가동,99.76,380,60,2023,,,경상남도 하동군청,,2023-12-27
맑은 태양광발전소,,경상남도 하동군 고전면 성천리 668-1,35.035983466838,127.822835981824,,정상가동,63.8,380,60,2023,,,경상남도 하동군청,,2023-12-27
유현 태양광발전소,,"경상남도 하동군 고전면 고하리 473, 480",,,,정상가동,95.0,380,60,2023,,,경상남도 하동군청,,2023-12-27
아산2호 태양광발전소,,"경상남도 하동군 고전면 고하리 477, 480",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
오메가3 태양광발전소,,"경상남도 하동군 고전면 고하리 477, 478, 479",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
민주 태양광발전소,,경상남도 하동군 고전면 고하리 472,35.0406913045876,127.83369940935,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
프리미엄 태양광발전소,,경상남도 하동군 고전면 고하리 472,35.0406913045876,127.83369940935,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
하동22호 태양광발전소,,경상남도 하동군 고전면 고하리 467,35.0405446203534,127.834910459641,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
고하25 태양광발전소,,"경상남도 하동군 고전면 고하리 463, 464, 465-2, 467",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
고하24 태양광발전소,,"경상남도 하동군 고전면 고하리 464, 467",,,,정상가동,98.77,380,60,2023,,,경상남도 하동군청,,2023-12-27
