태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
은강 태양광발전소,경기도 수원시 장안구 금당로,경기도 수원시 장안구 조원동,37.301822269934,127.017024065765,옥상,정상가동,19.44,380,60,2009,발전사업용,2009-01-23,경기도청,137.0,2026-01-15
이마트 서수원 태양광발전소,경기도 수원시 권선구 수인로,경기도 수원시 권선구 구운동,37.2927116939144,126.96461650366,옥상,정상가동,97.85,380,60,2011,발전사업용,2011-04-25,경기도청,592.0,2026-01-15
지역난방공사 수원 열병합발전소,경기도 수원시 영통구 매영로,경기도 수원시 영통구 영통동,37.2617419172302,127.063685239421,옥상,정상가동,99.36,380,60,2011,발전사업용,2011-09-09,경기도청,635.0,2026-01-15
지역난방공사  장안열원발전소,경기도 수원시 장안구 덕영대로,경기도 수원시 장안구 정자3동,37.2570208252854,127.006456232982,옥상,정상가동,44.16,380,60,2011,발전사업용,2011-09-09,경기도청,320.0,2026-01-15
○○씨티홈 태양광발전소,경기도 수원시 팔달구 경수대로,경기도 수원시 팔달구 인계동,37.2775980822279,127.030317057063,옥상,정상가동,30.0,380,60,2012,발전사업용,2012-08-23,경기도청,120.0,2026-01-15
○○○ 태양광발전소1,경기도 수원시 장안구 수성로,경기도 수원시 장안구 영화동,37.2962967030532,127.020199042122,옥상,정상가동,29.64,380,60,2013,발전사업용,2012-12-06,경기도청,190.0,2026-01-15
다이아몬드태양광발전소,경기도 수원시 팔달구 인계로,경기도 수원시 팔달구 인계동,37.2668480650247,127.033858645831,옥상,정상가동,24.5,380,60,2013,발전사업용,2012-12-18,경기도청,150.0,2026-01-15
인터컨스빌 태양광발전소,경기도 수원시 팔달구 경수대로,경기도 수원시 팔달구 지동,37.2775980822279,127.030317057063,옥상,정상가동,19.76,380,60,2013,발전사업용,2013-06-20,경기도청,126.67,2026-01-15
동남 태양광발전소,경기도 수원시 장안구 정자로,경기도 수원시 장안구 정자동,37.3018269995412,126.986070161884,옥상,정상가동,19.5,380,60,2013,발전사업용,2013-07-12,경기도청,127.0,2026-01-15
○○○ 태양광발전소2,경기도 수원시 팔달구 매산로,경기도 수원시 팔달구 매산로2가,37.2699319705495,127.01003855523,옥상,정상가동,19.5,380,60,2013,발전사업용,2013-07-22,경기도청,148.0,2026-01-15
경기○○ 태양광발전소,경기도 수원시 장안구 경수대로,경기도 수원시 장안구 송죽동,37.3175998873851,126.990606732855,옥상,정상가동,40.0,380,60,2013,발전사업용,2013-10-08,경기도청,278.0,2026-01-15
탑동 태양광발전소,경기도 수원시 권선구 탑동로,경기도 수원시 권선구 탑동,37.2720172659934,126.974472223661,옥상,정상가동,19.5,380,60,2014,발전사업용,2013-11-01,경기도청,124.0,2026-01-15
한성 태양광발전소,경기도 수원시 팔달구 동말로,경기도 수원시 팔달구 화서동,37.2788061139803,127.000224839157,옥상,정상가동,42.0,380,60,2014,발전사업용,2013-11-14,경기도청,273.84,2026-01-15
수원시민햇빛발전소 2호기,경기도 수원시 장안구 정자천로,경기도 수원시 장안구 정자동,37.2922593168747,126.98839052746,옥상,정상가동,39.9,380,60,2016,발전사업용,2014-04-18,경기도 수원시청,567.0,2026-01-15
○○ 1호 태양광발전소,경기도 수원시 장안구 광교산로,경기도 수원시 장안구 상광교동,37.3123550278284,127.021882370942,옥상,정상가동,29.76,380,60,2014,발전사업용,2014-04-21,경기도 수원시청,760.0,2026-01-15
하광 1호 태양광발전소,경기도 수원시 장안구 광교산로,경기도 수원시 장안구 하광교동,37.3123550278284,127.021882370942,옥상,정상가동,24.8,380,60,2014,발전사업용,2014-04-21,경기도 수원시청,173.0,2026-01-15
수원(에버홈)태양광발전소,경기도 수원시 팔달구 매산로,경기도 수원시 팔달구 매산로2가,37.2699319705495,127.01003855523,옥상,정상가동,18.0,380,60,2014,발전사업용,2014-05-08,경기도 수원시청,160.78,2026-01-15
수원 나눔햇빛발전소 1호기,경기도 수원시 장안구 광교산로,경기도 수원시 장안구 하광교동,37.3123550278284,127.021882370942,주차장,정상가동,90.0,380,60,2014,발전사업용,2014-05-21,경기도 수원시청,4293.0,2026-01-15
○○ 2호 태양광발전소,경기도 수원시 장안구 광교산로,경기도 수원시 장안구 상광교동,37.3123550278284,127.021882370942,옥상,정상가동,60.48,380,60,2014,발전사업용,2014-05-29,경기도 수원시청,435.0,2026-01-15
아이생생태양광발전소,경기도 수원시 팔달구 경수대로,경기도 수원시 팔달구 인계동,37.2775980822279,127.030317057063,옥상,정상가동,19.04,380,60,2015,발전사업용,2014-08-20,경기도 수원시청,121.0,2026-01-15
명진태양광발전소,경기도 수원시 권선구 곡반정로,경기도 수원시 권선구 곡반정동,37.2374088605341,127.030647721185,옥상,정상가동,99.0,380,60,2015,발전사업용,2014-08-27,경기도 수원시청,1949.0,2026-01-15
에벤○○태양광발전소,경기도 수원시 팔달구동말로,경기도 수원시 팔달구 화서동,37.2788061139803,127.000224839157,옥상,정상가동,12.0,380,60,2015,발전사업용,2014-09-23,경기도 수원시청,170.46,2026-01-15
수원 나눔햇빛발전소 2호기,경기도 수원시 권선구 서부로,경기도 수원시 권선구 구운동,37.2769773455008,126.968948366765,옥상,정상가동,70.0,380,60,2015,발전사업용,2014-12-09,경기도 수원시청,532.0,2026-01-15
화서1동 주민햇빛발전소,경기도 수원시 팔달구 동말로,경기도 수원시 팔달구 화서동,37.2788061139803,127.000224839157,옥상,정상가동,18.0,380,60,2015,발전사업용,2014-12-11,경기도 수원시청,523.88,2026-01-15
주성태양광발전소,경기도 수원시 팔달구 아주로,경기도 수원시 팔달구 우만동,37.2772324190908,127.043894927507,옥상,정상가동,18.0,380,60,2015,발전사업용,2015-01-08,경기도 수원시청,302.0,2026-01-15
건영태양광발전소,경기도 수원시 장안구 장안로,경기도 수원시 장안구 영화동,37.3190768791268,126.983382926422,옥상,정상가동,15.9,380,60,2015,발전사업용,2015-01-08,경기도 수원시청,112.8,2026-01-15
제이○○○ 태양광발전소,경기도 수원시 권선구 산업로,경기도 수원시 권선구 고색동,37.2409168274724,126.977440451072,옥상,정상가동,95.0,380,60,2015,발전사업용,2015-01-22,경기도 수원시청,2549.0,2026-01-15
수원시민햇빛발전1호기,경기도 수원시 팔달구 월드컵로,경기도 수원시 팔달구 우만동,37.2811079551197,127.041440335385,옥상,정상가동,61.2,380,60,2015,발전사업용,2015-01-22,경기도 수원시청,3488.0,2026-01-15
수원 나눔햇빛발전소 3호기,경기도 수원시 권선구 서부로,경기도 수원시 권선구 구운동,37.2769773455008,126.968948366765,옥상,정상가동,120.0,380,60,2015,발전사업용,2015-05-11,경기도 수원시청,16664.0,2026-01-15
광교방음터널 태양광발전소,경기도 수원시 영통구광교호수로,경기도 수원시 영통구 하동,37.2815981418747,127.070843070708,옥외,정상가동,108.5,380,60,2015,발전사업용,2015-09-03,경기도 수원시청,8840.0,2026-01-15
수원 나눔햇빛발전소 4호기,경기도 수원시 권선구 서부로,경기도 수원시 권선구 구운동,37.2769773455008,126.968948366765,옥상,정상가동,98.8,380,60,2016,발전사업용,2015-12-15,경기도 수원시청,760.0,2026-01-15
수원 나눔햇빛발전소 5호기,경기도 수원시 팔달구 수성로,경기도 수원시 팔달구 화서동,37.2962967030532,127.020199042122,옥상,정상가동,98.8,380,60,2016,발전사업용,2016-07-19,경기도 수원시청,3103.0,2026-01-15
수원 나눔햇빛발전소 6호기,경기도 수원시 영통구 광교호수로,경기도 수원시 영통구 하동,37.2815981418747,127.070843070708,옥상,정상가동,98.8,380,60,2016,발전사업용,2016-07-19,경기도 수원시청,90444.0,2026-01-15
○○○태양광발전소3,경기도 수원시 장안구 광교산로,경기도 수원시 장안구 영화동,37.3123550278284,127.021882370942,옥상,정상가동,17.68,380,60,2016,발전사업용,2016-09-22,경기도 수원시청,111.0,2026-01-15
○○무역태양광발전소,경기도 수원시 권선구 수원천로,경기도 수원시 권선구 세류동,37.2747799673033,127.019769683212,옥상,정상가동,55.44,380,60,2016,발전사업용,2016-11-07,경기도 수원시청,366.0,2026-01-15
성모태양광발전소,경기도 수원시 장안구 팔달로,경기도 수원시 장안구 영화동,37.2904980478382,127.016925654964,옥상,정상가동,30.15,380,60,2019,발전사업용,2016-11-17,경기도 수원시청,482.0,2026-01-15
명인발전소,경기도 수원시 권선구 구운로,경기도 수원시 권선구 구운동,37.2776992230594,126.973630609594,옥상,정상가동,15.12,380,60,2017,발전사업용,2017-05-24,경기도 수원시청,217.0,2026-01-15
○○태양광발전소,경기도 수원시 팔달구 세지로,경기도 수원시 팔달구 지동,37.2863478064321,127.029601325606,옥상,정상가동,33.07,380,60,2018,발전사업용,2017-06-12,경기도 수원시청,249.9,2026-01-15
○○○○낙안공파종중태양광발전소,경기도 수원시 권선구 율전로,경기도 수원시 권선구 입북동,37.295610603378,126.966162076499,옥상,정상가동,12.06,380,60,2017,발전사업용,2017-06-12,경기도 수원시청,379.0,2026-01-15
원천태양광발전소,경기도 수원시 영통구 매영로,경기도 수원시 영통구 원천동,37.2617419172302,127.063685239421,옥상,정상가동,21.44,380,60,2017,발전사업용,2017-07-31,경기도 수원시청,156.0,2026-01-15
준태양광발전소,경기도 수원시 권선구 산업로,경기도 수원시 권선구 고색동,37.2409168274724,126.977440451072,옥상,정상가동,89.1,380,60,2017,발전사업용,2017-08-03,경기도 수원시청,1281.0,2026-01-15
대일태양광발전소,경기도 수원시 권선구 산업로,경기도 수원시 권선구 고색동,37.2409168274724,126.977440451072,옥상,정상가동,56.1,380,60,2017,발전사업용,2017-08-03,경기도 수원시청,1326.0,2026-01-15
에프○○○태양광발전소,경기도 수원시 영통구 신원로,경기도 수원시 영통구 매탄동,37.2507768976133,127.057984637917,옥상,정상가동,59.86,380,60,2018,발전사업용,2017-11-02,경기도 수원시청,390.0,2026-01-15
원익○○○ 발전소,경기도 수원시 권선구 산업로,경기도 수원시 권선구 고색동,37.2409168274724,126.977440451072,옥상,정상가동,50.0,380,60,2018,발전사업용,2017-11-02,경기도 수원시청,355.0,2026-01-15
수원 나눔햇빛발전소 7호기,경기도 수원시 권선구 서부로,경기도 수원시 권선구 구운동,37.2769773455008,126.968948366765,주차장,정상가동,399.64,380,60,2017,발전사업용,2017-06-16,경기도 수원시청,8000.0,2026-01-15
수원 나눔햇빛발전소 8호기,경기도 화성시 태안로,경기도 화성시 송산동,37.2129355261282,127.027585190949,기타,정상가동,399.84,380,60,2018,발전사업용,2017-11-09,경기도 수원시청,6000.0,2026-01-15
성일태양광발전소,경기도 수원시 장안구 서부로,경기도 수원시 장안구 율전동,37.3141319959944,126.977836328438,옥상,정상가동,19.04,380,60,2018,발전사업용,2018-01-10,경기도 수원시청,120.0,2026-01-15
○○○태양광발전소4,경기도 수원시 팔달구 중부대로,경기도 수원시 팔달구 우만동,37.2734074493946,127.050787807334,옥상,정상가동,24.38,380,60,2018,발전사업용,2018-02-19,경기도 수원시청,162.0,2026-01-15
○○○태양광발전소5,경기도 수원시 팔달구 중부대로,경기도 수원시 팔달구 우만동,37.2734074493946,127.050787807334,옥상,정상가동,19.5,380,60,2018,발전사업용,2018-02-19,경기도 수원시청,131.0,2026-01-15
대한○○태양광발전소,경기도 수원시 영통구 신원로,경기도 수원시 영통구 신동,37.2507768976133,127.057984637917,옥상,정상가동,97.2,380,60,2018,발전사업용,2018-04-12,경기도 수원시청,502.0,2026-01-15
○○1호 햇빛발전소,경기도 수원시 권선구 대학로,경기도 수원시 권선구 이의동,,,옥상,정상가동,998.73,22900,60,2018,발전사업용,2018-07-17,경기도 수원시청,,2026-01-15
○○제1태양광발전소,경기도 수원시 권선구 매송고색로,경기도 수원시 권선구 고색동,37.2511419461982,126.982007836042,옥상,정상가동,100.48,380,60,2018,발전사업용,2018-08-03,경기도 수원시청,836.0,2026-01-15
○○○제2태양광발전소,경기도 수원시 권선구 매송고색로,경기도 수원시 권선구 고색동,37.2511419461982,126.982007836042,옥상,정상가동,51.98,380,60,2018,발전사업용,2018-08-03,경기도 수원시청,361.0,2026-01-15
수원 나눔햇빛발전소9호기,경기도 수원시 장안구 광교산로,경기도 수원시 장안구 하광교동,37.3123550278284,127.021882370942,옥상,정상가동,200.0,380,60,2019,발전사업용,2018-08-13,경기도 수원시청,2000.0,2026-01-15
○○피앤이 제2공장 발전소,경기도 수원시 권선구 산업로,경기도 수원시 권선구 고색동,37.2409168274724,126.977440451072,옥상,정상가동,99.0,380,60,2019,발전사업용,2018-08-21,경기도 수원시청,601.0,2026-01-15
○○○태양광발전소6,경기도 수원시 팔달구 팔달문로,경기도 수원시 팔달구 지동,37.2808625582997,127.026527569922,옥상,정상가동,23.73,380,60,2019,발전사업용,2018-11-06,경기도 수원시청,356.0,2026-01-15
마블태양광발전소,경기도 수원시 권선구 산업로,경기도 수원시 권선구 고색동,37.2409168274724,126.977440451072,옥상,정상가동,48.1,380,60,2019,발전사업용,2019-02-25,경기도 수원시청,644.0,2026-01-15
이나태양광발전소,경기도 수원시 권선구 서부로,경기도 수원시 권선구 고색동,37.2769773455008,126.968948366765,옥상,정상가동,173.16,380,60,2019,발전사업용,2019-02-25,경기도 수원시청,1862.0,2026-01-15
수원여객북부차고지 태양광발전소,경기도 수원시 장안구 경수대로,경기도 수원시 장안구 파장동,37.3175998873851,126.990606732855,옥외,정상가동,166.5,380,60,2019,발전사업용,2019-05-10,경기도 수원시청,879.0,2026-01-15
SK수원드림 태양광발전소,경기도 수원시 권선구 권선로,경기도 수원시 권선구 권선동,37.264005816733,127.00400133113,옥상,정상가동,29.63,380,60,2020,발전사업용,2019-07-15,경기도 수원시청,1164.0,2026-01-15
테크네트 태양광발전소,경기도 수원시 권선구 산업로,경기도 수원시 권선구 고색동,37.2409168274724,126.977440451072,옥상,정상가동,143.18,380,60,2019,발전사업용,2019-08-14,경기도 수원시청,2138.0,2026-01-15
인산 태양광발전소,경기도 수원시 권선구 호매실로,경기도 수원시 권선구 호매실동,37.2558129653087,126.959974791005,옥상,정상가동,99.36,380,60,2020,발전사업용,2019-09-18,경기도 수원시청,2304.0,2026-01-15
○○빌딩,경기도 수원시 권선구 하탑로,경기도 수원시 권선구 탑동,37.268909351314,126.975546699859,옥상,정상가동,19.98,380,60,2020,발전사업용,2019-10-29,경기도 수원시청,202.0,2026-01-15
나래태양광발전소,경기도 수원시 영통구 신원로,경기도 수원시 영통구 매탄동,37.2507768976133,127.057984637917,옥상,정상가동,19.24,380,60,2020,발전사업용,2019-11-28,경기도 수원시청,360.0,2026-01-15
○○○태양광발전소7,경기도 수원시 팔달구 중부대로,경기도 수원시 팔달구 인계동,37.2734074493946,127.050787807334,옥상,정상가동,15.0,380,60,2020,발전사업용,2019-12-11,경기도 수원시청,182.0,2026-01-15
롯데마트 천천점 태양광발전소,경기도 수원시 장안구 만석로,경기도 수원시 장안구 천천동,37.2997963214034,126.994874521327,옥상,정상가동,70.2,380,60,2020,발전사업용,2020-01-06,경기도 수원시청,3119.0,2026-01-15
롯데마트 영통점 태양광발전소,경기도 수원시 영통구 봉영로,경기도 수원시 영통구 영통동,37.2496413905794,127.069550289949,옥상,정상가동,99.45,380,60,2020,발전사업용,2020-01-07,경기도 수원시청,3980.0,2026-01-15
하은 태양광 발전소,경기도 수원시 팔달구 권광로,경기도 수원시 팔달구 인계동,37.2786975393122,127.038364788448,옥상,정상가동,28.875,380,60,2021,발전사업용,2020-06-22,경기도 수원시청,261.75,2026-01-15
광교지사 태양광발전소,경기도 수원시 영통구 창룡대로,경기도 수원시 영통구 이의동,37.2946232207152,127.036061644216,옥상,정상가동,308.7,380,60,2021,발전사업용,2020-06-18,경기도 수원시청,31693.0,2026-01-15
리트릿 태양광발전소,경기도 수원시 영통구 영통로,경기도 수원시 영통구 영통동,37.2538213079274,127.062484635257,옥상,정상가동,29.05,380,60,2020,발전사업용,2020-06-09,경기도 수원시청,591.0,2026-01-15
○○○ 태양광발전소8,경기도 수원시 권선구 세권로,경기도 수원시 권선구 세류동,37.2559795047603,127.022996448364,옥상,정상가동,12.48,380,60,2020,발전사업용,2020-06-15,경기도 수원시청,125.2,2026-01-15
영화 태양광발전소,경기도 수원시 팔달구 효원로,경기도 수원시 팔달구 인계동,37.2634229804192,127.02496819029,옥상,정상가동,29.9,380,60,2020,발전사업용,2020-08-24,경기도 수원시청,492.4,2026-01-15
명화 태양광발전소,경기도 수원시 권선구 일월천로,경기도 수원시 권선구 구운동,37.285326924876,126.974231593148,옥상,정상가동,19.92,380,60,2020,발전사업용,2020-08-25,경기도 수원시청,352.9,2026-01-15
평동 태양광발전소,경기도 수원시 권선구 세화로,경기도 수원시 권선구 평동,37.2637077068861,126.994834015864,옥상,정상가동,88.2,380,60,2020,발전사업용,2020-09-09,경기도 수원시청,2963.0,2026-01-15
기복 태양광발전소,경기도 수원시 영통구 동탄원천로,경기도 수원시 영통구 매탄동,37.2645117303655,127.049960434628,옥상,정상가동,19.8,380,60,2021,발전사업용,2020-09-15,경기도 수원시청,532.5,2026-01-15
퍼스트 태양광발전소,경기도 수원시 영통구 동수원로,경기도 수원시 영통구 원천동,37.2740164216119,127.051301119334,옥상,정상가동,16.38,380,60,2021,발전사업용,2020-10-26,경기도 수원시청,232.24,2026-01-15
경기도민햇빛발전소 1호기,경기도 수원시 팔달구 동수원로,경기도 수원시 팔달구 인계동,37.2545303186565,127.035841655246,옥상,정상가동,99.9,380,60,2021,발전사업용,2021-01-11,경기도 수원시청,8512.0,2026-01-15
경기도민햇빛발전소 2호기,경기도 수원시 팔달구 동수원로,경기도 수원시 팔달구 인계동,37.2545303186565,127.035841655246,옥상,정상가동,99.9,380,60,2021,발전사업용,2021-01-11,경기도 수원시청,8512.0,2026-01-15
경기도민햇빛발전소 3호기,경기도 수원시 팔달구 동수원로,경기도 수원시 팔달구 인계동,37.2545303186565,127.035841655246,옥상,정상가동,99.9,380,60,2021,발전사업용,2021-01-11,경기도 수원시청,8512.0,2026-01-15
쉐르빌 태양광발전소,경기도 수원시 영통구 인계로,경기도 수원시 영통구 매탄동,37.2642311430286,127.04596386699,옥상,정상가동,19.8,380,60,2021,발전사업용,2021-02-24,경기도 수원시청,142.0,2026-01-15
수원 나눔햇빛발전소10호기,경기도 수원시 영통구 광교호수로,경기도 수원시 영통구 하동,37.2815981418747,127.070843070708,주차장,정상가동,820.8,22900,60,2021,발전사업용,2021-03-12,경기도 수원시청,3860.0,2026-01-15
모햇1차태양광발전소 13호,경기도 수원시 권선구 산업로,경기도 수원시 권선구 고색동,37.2409168274724,126.977440451072,옥상,정상가동,99.875,380,60,2021,발전사업용,2021-04-22,경기도 수원시청,6599.0,2026-01-15
모햇1차태양광발전소 14호,경기도 수원시 권선구 산업로,경기도 수원시 권선구 고색동,37.2409168274724,126.977440451072,옥상,정상가동,99.875,380,60,2021,발전사업용,2021-04-22,경기도 수원시청,6599.0,2026-01-15
모햇1차태양광발전소 15호,경기도 수원시 권선구 산업로,경기도 수원시 권선구 고색동,37.2409168274724,126.977440451072,옥상,정상가동,34.0,380,60,2021,발전사업용,2021-04-22,경기도 수원시청,6599.0,2026-01-15
○○○태양광발전소9,경기도 수원시 권선구 권중로,경기도 수원시 권선구 권선동,37.2523277791605,127.030820248166,옥상,정상가동,16.2,380,60,2021,발전사업용,2021-05-10,경기도 수원시청,80.0,2026-01-15
제이빌딩태양광발전소,경기도 수원시 권선구 구운로,경기도 수원시 권선구 구운동,37.2776992230594,126.973630609594,옥상,정상가동,18.9,380,60,2021,발전사업용,2021-05-26,경기도 수원시청,287.0,2026-01-15
