태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
벽옥 파워1호발전소,,전라남도 보성군 노동면 옥마리 458-1,34.81388302,127.0262238,,정상가동,29.5,380,60,2013,,2013-08-29,전라남도청,734,2025-11-03
㈜미래에코(미래에너지 벌교 태양광발전소 3호기),,전라남도 보성군 벌교읍 대포리 788-6,34.79919232,127.399689,,정상가동,500.0,22900,60,2007,,2007-02-06,전라남도청,10723,2025-11-03
㈜벌교농산(동양1호),전라남도 보성군 벌교읍 조정래길 222-11,,34.85990373,127.3403901,,정상가동,78.3,380,60,2013,,2013-05-21,전라남도청,1093,2025-11-03
㈜벌교농산(동양2호),전라남도 보성군 벌교읍 조정래길 222-11,,34.85990373,127.3403901,,정상가동,49.5,380,60,2013,,2013-05-21,전라남도청,1093,2025-11-03
현대태양광발전소,,전라남도 보성군 벌교읍 연산리 511,34.8611912,127.338388,,정상가동,329.4,380,60,2013,,2013-05-21,전라남도청,8572,2025-11-03
JNG태양광발전소 1302호(보성),,전라남도 보성군 미력면 도개리 762-2외 9필지,34.79731511,127.0843096,,정상가동,276.5,380,60,2013,,2013-10-05,전라남도청,2674,2025-11-03
JNG태양광발전소 1303호(보성),,전라남도 보성군 미력면 도개리 953-1,34.79781585,127.0875016,,정상가동,176.0,380,60,2013,,2013-10-05,전라남도청,6365.1,2025-11-03
나산테크노㈜ (JNG1304호),전라남도 보성군 벌교읍 농공단지길 30,,34.863746,127.3423601,,정상가동,71.75,380,60,2013,,2013-10-05,전라남도청,1093,2025-11-03
두봉발전소,전라남도 보성군 보성읍 태평길 35-18,,34.77416013,127.0788902,,정상가동,19.89,380,60,2013,,2013-10-13,전라남도청,160,2025-11-03
계림발전소,,"전라남도 보성군 보성읍 쾌상리 144,145-1",34.75087939,127.0807976,,정상가동,19.89,380,60,2013,,2013-10-13,전라남도청,169,2025-11-03
세동발전소,전라남도 보성군 보성읍 보성옥평길 52-6,,34.76148385,127.1005588,,정상가동,19.89,380,60,2013,,2013-10-13,전라남도청,147,2025-11-03
㈜태찬테크(쏠발전소),,"전라남도 보성군 보성읍 옥평리 674,675-1,676-3",34.75943642,127.0979015,,정상가동,90.16,380,60,2013,,2013-10-15,전라남도청,423,2025-11-03
㈜건국(도개발전소),,"전라남도 보성군 미력면 도개리 788-1,788-2",34.79359844,127.0869517,,정상가동,18.0,380,60,2013,,2013-11-29,전라남도청,1574,2025-11-03
송곡 태양광발전소,,전라남도 보성군 득량면 송곡리 93-6,34.77552412,127.1701237,,정상가동,405.0,380,60,2013,,2013-11-29,전라남도청,5015,2025-11-03
박실 태양광발전소,,전라남도 보성군 득량면 송곡리 93-5,34.77704007,127.1707617,,정상가동,610.2,380,60,2013,,2013-11-29,전라남도청,7450,2025-11-03
JK에너지 3호 태양광발전소,,전라남도 보성군 득량면 예당리 2844-1,34.75372616,127.2206981,,정상가동,30.0,380,60,2017,,2013-12-20,전라남도청,720,2025-11-03
환경과에너지 제2호 태양광발전소,,전라남도 보성군 노동면 대련리 511-3,34.76780163,127.0574936,,정상가동,334.53,380,60,2013,,2013-12-20,전라남도청,14163,2025-11-03
환경과에너지 3호 태양광발전소,,전라남도 보성군 노동면 대련리 511-3,34.76780163,127.0574936,,정상가동,289.0,380,60,2013,,2013-12-20,전라남도청,14163,2025-11-03
환경과에너지 4호,,전라남도 보성군 노동면 대련리 511,34.767392,127.056866,,정상가동,99.0,380,60,2013,,2013-12-20,전라남도청,1282,2025-11-03
환경과에너지 5호,,전라남도 보성군 노동면 대련리 511-9,34.76694548,127.0566242,,정상가동,99.0,380,60,2013,,2015-04-29,전라남도청,1132,2025-11-03
환경과에너지 6호 태양광발전소,,"전라남도 보성군 노동면 대련리 515,156",34.76618787,127.0579302,,정상가동,222.43,380,60,2013,,2013-12-20,전라남도청,2807,2025-11-03
구국 태양광발전소,,전라남도 보성군 노동면 대련리 511-3,34.76780163,127.0574936,,정상가동,499.73,380,60,2013,,2013-12-20,전라남도청,14163,2025-11-03
환경과에너지 7호 태양광발전소,,전라남도 보성군 노동면 용호리 689,34.81510538,127.0470631,,정상가동,300.0,380,60,2013,,2013-12-20,전라남도청,3425,2025-11-03
JK에너지 2호 태양광발전소,,"전라남도 보성군 득량면 예당리 2842, 2842-1, 2842-2, 2842-3, 2842-4, 2842-5",34.75326296,127.2205153,,정상가동,497.475,380,60,2013,,2013-12-20,전라남도청,3986,2025-11-03
JK에너지 3호 태양광발전소,,"전라남도 보성군 득량면 예당리 2842-6, 2842-7",34.75415867,127.2203468,,정상가동,85.425,380,60,2013,,2013-12-20,전라남도청,3383,2025-11-03
청다수발전소,,전라남도 보성군 보성읍 원봉리 57-2,34.7564377,127.0719639,,정상가동,98.0,380,60,2013,,2013-12-23,전라남도청,1652,2025-11-03
NYG발전소,,전라남도 보성군 보성읍 원봉리 57-13,34.7563832,127.0722981,,정상가동,98.0,380,60,2013,,2013-12-23,전라남도청,1605,2025-11-03
NSH발전소,,전라남도 보성군 보성읍 원봉리 57-14,34.75650065,127.0728162,,정상가동,98.0,380,60,2013,,2013-12-23,전라남도청,2204,2025-11-03
농업회사법인대산농수산㈜ (대산쏠라에너지1호 태양광발전소),,"전라남도 보성군 보성읍 쾌상리 725-5, 725-6, 725-10, 725-11, 725-12, 725-13, 725-14(건물)",34.75173743,127.0626168,,정상가동,826.56,380,60,2013,,2014-01-08,전라남도청,3985.88,2025-11-03
삼성에너지발전소,,전라남도 보성군 득량면 예당리 461-1,34.78019353,127.2020831,,정상가동,99.11,380,60,2014,,2014-01-08,전라남도청,1116,2025-11-03
오케이에너지 발전소,,"전라남도 보성군 득량면 예당리 461-1,432",34.78019353,127.2020831,,정상가동,99.11,380,60,2013,,2014-01-08,전라남도청,1143,2025-11-03
용운 태양광발전소,,전라남도 보성군 회천면 회령리 산26-5,34.68094232,127.0631193,,정상가동,500.0,380,60,2013,,2014-01-22,전라남도청,15238,2025-11-03
종구발전소,,전라남도 보성군 회천면 회령리 327-15,34.6819855,127.0621575,,정상가동,99.75,380,60,2013,,2014-01-22,전라남도청,2963,2025-11-03
민지 태양광발전소,,전라남도 보성군 회천면 회령리 327-15,34.6819855,127.0621575,,정상가동,99.75,380,60,2013,,2014-01-22,전라남도청,1737,2025-11-03
정기발전소,,전라남도 보성군 회천면 회령리 327-15,34.6819855,127.0621575,,정상가동,99.75,380,60,2013,,2014-01-22,전라남도청,1548,2025-11-03
영옥발전소,,전라남도 보성군 회천면 회령리 327-15,34.6819855,127.0621575,,정상가동,99.75,380,60,2013,,2014-01-22,전라남도청,1706,2025-11-03
종희 태양광발전소,,전라남도 보성군 회천면 회령리 327-15,34.6819855,127.0621575,,정상가동,99.75,380,60,2013,,2014-01-22,전라남도청,1587,2025-11-03
영임 태양광발전소,,전라남도 보성군 회천면 회령리 327-15,34.6819855,127.0621575,,정상가동,99.75,380,60,2013,,2014-01-22,전라남도청,1626,2025-11-03
금자발전소,,전라남도 보성군 회천면 회령리 327-15,34.6819855,127.0621575,,정상가동,99.75,380,60,2013,,2014-01-22,전라남도청,1763,2025-11-03
영미발전소,,전라남도 보성군 회천면 회령리 327-15,34.6819855,127.0621575,,정상가동,99.75,380,60,2013,,2014-01-22,전라남도청,1648,2025-11-03
창조에너지 1호,,전라남도 보성군 보성읍 쾌상리 1026-5외6,34.74924209,127.0543648,,정상가동,999.0,380,60,2014,,2014-01-22,전라남도청,20421,2025-11-03
창조에너지 2호,,"전라남도 보성군 보성읍 쾌상리 1048-1,1048-2,1048-3",34.7491479,127.0525591,,정상가동,99.5,380,60,2013,,2014-01-22,전라남도청,3924,2025-11-03
선망5호 태양광발전소,,전라남도 보성군 보성읍 쾌상리 1048-1,34.7491479,127.0525591,,정상가동,99.5,380,60,2013,,2014-01-22,전라남도청,282,2025-11-03
준성태양발발전소,,전라남도 보성군 복내면 동교리 산59,,,,정상가동,696.0,22900,60,2014,,2014-01-22,전라남도청,24510,2025-11-03
에너지농장보성 2호,전라남도 보성군 웅치면 일림로 530-26,,34.70155219,127.0535391,,정상가동,49.2,380,60,2014,,2014-03-12,전라남도청,1771,2025-11-03
농업회사법인대산농수산㈜ (대산쏠라에너지2호 태양광발전소),,"전라남도 보성군 보성읍 쾌상리 산174-25, 724, 724-1",,,,정상가동,851.16,380,60,2014,,2014-03-13,전라남도청,11643,2025-11-03
(유)원진에너지,,전라남도 보성군 보성읍 대야리 1714외6,34.74641249,127.0393032,,정상가동,996.96,380,60,2014,,2014-03-13,전라남도청,16855,2025-11-03
에스제이에너지㈜,,전라남도 보성군 득량면 삼정리 산242외 1,,,,정상가동,995.1,380,60,2015,,2014-03-13,전라남도청,14445,2025-11-03
봉천태양광발전소,,"전라남도 보성군 회천면 화죽리 417-10, 417-15(건물)",34.71906111,127.1223719,,정상가동,400.0,380,60,2014,,2014-03-17,전라남도청,10000,2025-11-03
화방태양광발전소,,전라남도 보성군 미력면 화방리 산200-22외 11,34.81324444,127.1242583,,정상가동,261.56,380,60,2014,,2014-04-07,전라남도청,2670,2025-11-03
굿나이스 발전소,전라남도 보성군 벌교읍 제두길 138-120,,34.80058319,127.4023412,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1361,2025-11-03
운석 태양광발전소,,전라남도 보성군 벌교읍 장암리 679-32,34.80214859,127.4008258,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1504,2025-11-03
KJ1태양광 발전소,,"전라남도 보성군 벌교읍 장암리 679-43,679-63,679-79,679-83",34.8005861,127.402797,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1303,2025-11-03
혜정발전소,전라남도 보성군 벌교읍 제두길 138-90,,34.80128339,127.402783,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1255,2025-11-03
우주1발전소,,"전라남도 보성군 벌교읍 장암리 679-74,679-11",34.80128413,127.4028317,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1476,2025-11-03
경주1태양광 발전소,,"전라남도 보성군 벌교읍 장암리 679-15,679-75",34.80075939,127.4022737,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1422,2025-11-03
수진발전소,,"전라남도 보성군 벌교읍 장암리 679-37,679-66",34.80150131,127.4008501,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1509,2025-11-03
효진발전소,,"전라남도 보성군 벌교읍 장암리 679-35,679-45,679-10",,,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,182,2025-11-03
그린발전소,,"전라남도 보성군 벌교읍 장암리 679-40,679-60,679-77",34.80073056,127.4033849,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,197,2025-11-03
미래1발전소,,"전라남도 보성군 벌교읍 장암리 679-13,679-55",34.80141675,127.4022752,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1320,2025-11-03
거산 태양광발전소,,"전라남도 보성군 벌교읍 장암리 679-44,679-65",34.80031066,127.4029529,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1320,2025-11-03
장암1발전소,,"전라남도 보성군 벌교읍 장암리 679-69,679-39",,,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1314,2025-11-03
성주2태양광 발전소,,전라남도 보성군 벌교읍 장암리 679-33,34.80188432,127.4007022,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1381,2025-11-03
에덴발전소,,"전라남도 보성군 벌교읍 장암리 679-61,679-76,679-80",34.80068462,127.402969,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,139,2025-11-03
에스엔 발전소,,"전라남도 보성군 벌교읍 장암리 679-64,679-42",34.80052713,127.4029272,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,442,2025-11-03
해랑발전소,,"전라남도 보성군 벌교읍 장암리 679-9,679-34",34.80204819,127.4012108,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1391,2025-11-03
거성발전소,,"전라남도 보성군 벌교읍 장암리 679-53,679-50",,,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,351,2025-11-03
축복발전소,,"전라남도 보성군 벌교읍 장암리 679-7,679-59",34.80076683,127.4036959,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,493,2025-11-03
단장2태양광 발전소,,"전라남도 보성군 벌교읍 장암리 679-58,679-72",34.80129334,127.4023907,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1350,2025-11-03
오성발전소,,"전라남도 보성군 벌교읍 장암리 679-57,679-70",34.80128497,127.4020314,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1457,2025-11-03
마루발전소,,"전라남도 보성군 벌교읍 장암리 679-49,679-54,679-67",34.80161963,127.4018517,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1222,2025-11-03
씨엠발전소,,"전라남도 보성군 벌교읍 장암리 679-12,679-38,679-48",34.80161878,127.4015084,,정상가동,98.0,380,60,2014,,2014-04-07,전라남도청,1204,2025-11-03
예당 태양광 발전소,,전라남도 보성군 득량면 예당리 388-5,34.77714402,127.1994151,,정상가동,99.38,380,60,2014,,2014-04-11,전라남도청,2325,2025-11-03
혜산 태양광 발전소,전라남도 보성군 복내면 동교길 252-5,,34.88905209,127.1609449,,정상가동,99.3,380,60,2014,,2014-04-16,전라남도청,539,2025-11-03
벽옥 파워2호발전소,전라남도 보성군 노동면 벽옥길 27-11,,34.81365538,127.0260552,,정상가동,29.5,380,60,2014,,2014-04-15,전라남도청,734,2025-11-03
성주 태양광 발전소,전라남도 보성군 미력면 농공길 23,,34.79626946,127.0887638,,정상가동,99.0,380,60,2014,,2014-04-17,전라남도청,47,2025-11-03
㈜태찬테크(쏠2호),전라남도 보성군 보성읍 보성옥평길 26-17,,34.75863523,127.0981847,,정상가동,99.0,380,60,2014,,2014-04-24,전라남도청,596,2025-11-03
중앙1호발전소,,전라남도 보성군 보성읍 주봉리 430-8,34.76352571,127.0710484,,정상가동,97.2,380,60,2014,,2015-05-28,전라남도청,2448,2025-11-03
삼인농산 태양광 발전소,,전라남도 보성군 득량면 삼정리 320-1외 15,34.77750949,127.1469042,,정상가동,995.1,380,60,2014,,2014-07-15,전라남도청,13900,2025-11-03
계웅태양광발전소,,전라남도 보성군 벌교읍 낙성리 60-17,34.87788666,127.3132104,,정상가동,498.96,380,60,2015,,2015-09-18,전라남도청,19771,2025-11-03
신정 태양광발전소,,전라남도 보성군 벌교읍 낙성리 60-2,34.87847257,127.3134487,,정상가동,999.0,22900,60,2014,,2014-11-12,전라남도청,19771,2025-11-03
무등 태양광발전소,,전라남도 보성군 벌교읍 낙성리 60-2,34.87847257,127.3134487,,정상가동,100.8,380,60,2015,,2015-09-18,전라남도청,19771,2025-11-03
㈜태찬테크(쏠4호),전라남도 보성군 보성읍 보성옥평길 26-17,,34.75863523,127.0981847,,정상가동,49.5,380,60,2014,,2014-12-01,전라남도 보성군,602,2025-11-03
의성발전소,전라남도 보성군 벌교읍 조정래길 141-2,,34.85210615,127.3366122,,정상가동,46.8,380,60,2014,,2014-06-23,전라남도 보성군,834,2025-11-03
보광발전소,,전라남도 보성군 미력면 도개리 788-1,34.79359844,127.0869517,,정상가동,99.0,380,60,2014,,2014-06-25,전라남도 보성군,502,2025-11-03
용정1호발전소,,"전라남도 보성군 미력면 용정리 644,644-1",34.81867731,127.0976247,,정상가동,99.0,380,60,2014,,2014-07-31,전라남도 보성군,2756,2025-11-03
윤원발전소,,전라남도 보성군 득량면 예당리 904,34.7764303,127.1891049,,정상가동,99.11,380,60,2014,,2014-12-10,전라남도 보성군,2020,2025-11-03
㈜태찬테크(쏠3호),,"전라남도 보성군 보성읍 옥평리 677-1(건물C동,D동)건물위",34.75863523,127.0981847,,정상가동,90.0,380,60,2014,,2014-10-29,전라남도 보성군,1825,2025-11-03
에덴투발전소,,"전라남도 보성군 벌교읍 장암리 127,127-40",34.80920331,127.4142078,,정상가동,98.0,380,60,2014,,2014-10-29,전라남도 보성군,1498,2025-11-03
성주발전소,,"전라남도 보성군 벌교읍 장암리 127-38,123-5",34.80885246,127.415451,,정상가동,98.0,380,60,2014,,2014-08-13,전라남도 보성군,1577,2025-11-03
석란발전소,,"전라남도 보성군 벌교읍 장암리 127-36,127-37,123-3",34.80920001,127.4153389,,정상가동,98.0,380,60,2014,,2014-08-13,전라남도 보성군,1336,2025-11-03
그린투발전소,,전라남도 보성군 벌교읍 장암리 127-31,34.80881944,127.4144826,,정상가동,98.0,380,60,2014,,2014-08-13,전라남도 보성군,1586,2025-11-03
매곡발전소,,전라남도 보성군 벌교읍 장암리 123-6,34.8086291,127.4155382,,정상가동,98.0,380,60,2014,,2014-08-13,전라남도 보성군,1430,2025-11-03
믿음발전소,,전라남도 보성군 벌교읍 장암리 127-34,34.80903366,127.4150246,,정상가동,98.0,380,60,2014,,2014-08-13,전라남도 보성군,1233,2025-11-03
송이발전소,,"전라남도 보성군 벌교읍 장암리 127-35,123-7",34.80883922,127.4150137,,정상가동,98.0,380,60,2014,,2014-08-13,전라남도 보성군,1382,2025-11-03
열광발전소,,"전라남도 보성군 벌교읍 장암리 127-32,123-2",34.80919774,127.4148425,,정상가동,98.0,380,60,2014,,2015-08-03,전라남도 보성군,1462,2025-11-03
삼화1호발전소,,"전라남도 보성군 노동면 대련리 511-11(건물1, 2동)",34.76663117,127.0569641,,정상가동,99.0,380,60,2014,,2015-04-29,전라남도 보성군,1331,2025-11-03
삼화2호발전소,,전라남도 보성군 노동면 대련리 511-14,34.76644435,127.05762,,정상가동,60.0,380,60,2014,,2015-04-29,전라남도 보성군,780,2025-11-03
해오름발전소,,전라남도 보성군 노동면 대련리 511-13,34.76633806,127.0570141,,정상가동,99.0,380,60,2014,,2015-04-29,전라남도 보성군,1172,2025-11-03
천호발전소,,전라남도 보성군 노동면 대련리 511-15,34.76627817,127.0574698,,정상가동,99.0,380,60,2014,,2015-04-29,전라남도 보성군,1180,2025-11-03
대동발전소,,전라남도 보성군 벌교읍 고읍리 566-1(건물지붕),34.86681744,127.3138244,,정상가동,50.0,380,60,2014,,2014-09-03,전라남도 보성군,1166,2025-11-03
민서연 태양광발전소,,전라남도 보성군 조성면 봉능리 456-3,34.79235017,127.2182184,,정상가동,74.4,380,60,2014,,2014-09-03,전라남도 보성군,1224,2025-11-03
수당발전소,,전라남도 보성군 조성면 귀산리 130,34.82270453,127.2592678,,정상가동,46.2,380,60,2014,,2014-09-03,전라남도 보성군,910,2025-11-03
(유)매봉발전소,,전라남도 보성군 조성면 귀산리 130-3,34.82229795,127.2592431,,정상가동,97.02,380,60,2014,,2014-09-03,전라남도 보성군,1131,2025-11-03
케이제이발전소,,전라남도 보성군 조성면 귀산리 130-6,34.8224607,127.2596496,,정상가동,97.02,380,60,2014,,2014-09-03,전라남도 보성군,1552,2025-11-03
비에스발전소,,전라남도 보성군 조성면 귀산리 130-4,34.82199645,127.2593281,,정상가동,46.2,380,60,2014,,2014-09-03,전라남도 보성군,1355,2025-11-03
복내류발전소,,전라남도 보성군 복내면 용동리 876-11(버섯재배사위),34.89887274,127.1156143,,정상가동,90.0,380,60,2014,,2014-09-03,전라남도 보성군,2975,2025-11-03
복내종 발전소,,전라남도 보성군 복내면 용동리 876-12(버섯재배사위),34.89887274,127.1156143,,정상가동,90.0,380,60,2014,,2014-09-03,전라남도 보성군,2946,2025-11-03
복내도발전소,,전라남도 보성군 복내면 용동리 876-13(버섯재배사위),34.89887274,127.1156143,,정상가동,90.0,380,60,2014,,2014-09-03,전라남도 보성군,3012,2025-11-03
참빛발전소,,전라남도 보성군 조성면 귀산리 산4-5,,,,정상가동,97.02,380,60,2014,,2014-09-12,전라남도 보성군,2563,2025-11-03
조성 태양광발전소,,전라남도 보성군 조성면 귀산리 130-7[당초산4-1],34.82285588,127.2596174,,정상가동,97.02,380,60,2014,,2014-09-12,전라남도 보성군,2080,2025-11-03
남진 발전소,,전라남도 보성군 벌교읍 장암리 679-6,34.80237859,127.4005047,,정상가동,19.6,380,60,2014,,2014-09-25,전라남도 보성군,338,2025-11-03
덕신1호발전소,,전라남도 보성군 벌교읍 칠동리 1005-1,34.83689732,127.2839244,,정상가동,98.8,380,60,2014,,2014-09-25,전라남도 보성군,7869,2025-11-03
덕신2호발전소,,전라남도 보성군 벌교읍 칠동리 1005-3,34.83689732,127.2839244,,정상가동,98.8,380,60,2014,,2014-09-25,전라남도 보성군,1861,2025-11-03
덕신3호발전소,,전라남도 보성군 벌교읍 칠동리 산193-20,,,,정상가동,98.8,380,60,2014,,2014-09-25,전라남도 보성군,1996,2025-11-03
덕신4호발전소,,전라남도 보성군 벌교읍 칠동리 1005-4,34.83713912,127.283376,,정상가동,98.8,380,60,2014,,2014-09-25,전라남도 보성군,9724,2025-11-03
지아이티발전소,,전라남도 보성군 벌교읍 전동리 122-1,34.85300057,127.3298951,,정상가동,98.28,380,60,2014,,2014-11-12,전라남도 보성군,1309,2025-11-03
광일테크 발전소,,전라남도 보성군 벌교읍 전동리 120-5,34.8534578,127.3297503,,정상가동,88.92,380,60,2014,,2014-11-12,전라남도 보성군,994,2025-11-03
케이에스원㈜,,전라남도 보성군 벌교읍 전동리 121-1,34.85319448,127.3297659,,정상가동,98.28,380,60,2014,,2014-11-12,전라남도 보성군,1520,2025-11-03
십삼번지발전소,,전라남도 보성군 벌교읍 척령리 98-9,34.83947644,127.3385934,,정상가동,28.62,380,60,2014,,2015-01-23,전라남도 보성군,837,2025-11-03
동경 태양광 발전소,,"전라남도 보성군 득량면 해평리 2480-1(건물1동,2동)",34.74905858,127.1813361,,정상가동,98.56,380,60,2014,,2014-12-01,전라남도 보성군,2874,2025-11-03
정원 태양광 발전소,,전라남도 보성군 벌교읍 마동리 133,34.8238969,127.3123462,,정상가동,99.0,380,60,2014,,2015-01-05,전라남도 보성군,3303,2025-11-03
태평회관회발전소,,전라남도 보성군 보성읍 보성리 682-1,34.77289827,127.0791206,,정상가동,37.2,380,60,2015,,2015-09-02,전라남도 보성군,453,2025-11-03
영남 태양광 발전소,,전라남도 보성군 벌교읍 장암리 123,34.80944936,127.4156657,,정상가동,19.76,380,60,2015,,2015-09-02,전라남도 보성군,252,2025-11-03
봉능 태양광 발전소,,전라남도 보성군 조성면 봉능리 503-1,34.79304719,127.2165964,,정상가동,15.0,380,60,2015,,2015-11-04,전라남도 보성군,582,2025-11-03
신천 태양광 발전소,전라남도 보성군 회천면 충의로 314-8,,34.68365247,127.1091239,,정상가동,19.8,380,60,2015,,2015-05-13,전라남도 보성군,65,2025-11-03
죽산 태양광 발전소,,전라남도 보성군 조성면 동촌리 284-2,34.78504137,127.1986289,,정상가동,49.5,380,60,2016,,2016-03-08,전라남도 보성군,1660,2025-11-03
안산 태양광 발전소,,전라남도 보성군 조성면 동촌리 284-19,34.7849877,127.1989636,,정상가동,49.5,380,60,2016,,2015-01-13,전라남도 보성군,1504,2025-11-03
SUNNY5호 태양광발전소,,"전라남도 보성군 보성읍 대야리 산156-1,1115-6",,,,정상가동,99.2,380,60,2016,,2016-10-14,전라남도 보성군,27990,2025-11-03
훤함태양광발전소,,"전라남도 보성군 보성읍 대야리 1115-9,1115-18,1115-36",34.76383159,127.0254089,,정상가동,98.49,380,60,2016,,2016-10-14,전라남도 보성군,27990,2025-11-03
SUNNYBK태양광발전소,,"전라남도 보성군 보성읍 대야리 산1115-10,1115-19,1115-35",34.76376253,127.0250143,,정상가동,99.2,380,60,2018,,2018-08-08,전라남도 보성군,27990,2025-11-03
YH1태양광발전소,,"전라남도 보성군 보성읍 대야리 산1115-11,1115-20,1115-34",34.76366004,127.0249733,,정상가동,99.2,380,60,2018,,2018-08-08,전라남도 보성군,27990,2025-11-03
솔희 태양광발전소,,"전라남도 보성군 보성읍 대야리 1115-12,1115-21",34.76353213,127.0249343,,정상가동,98.49,380,60,2016,,2016-10-14,전라남도 보성군,27990,2025-11-03
민솔 태양광발전소,,"전라남도 보성군 보성읍 대야리 산156-1,1115-6",34.76428786,127.0253936,,정상가동,99.2,380,60,2016,,2016-10-14,전라남도 보성군,27990,2025-11-03
은준 태양광발전소,,"전라남도 보성군 보성읍 대야리 산156-1,1115-6",34.76428786,127.0253936,,정상가동,99.2,380,60,2016,,2016-10-14,전라남도 보성군,27990,2025-11-03
매화2호 태양광발전소,,"전라남도 보성군 보성읍 대야리 산156-1,1115-6",34.76428786,127.0253936,,정상가동,99.2,380,60,2016,,2016-10-14,전라남도 보성군,27990,2025-11-03
새별 태양광발전소,,전라남도 보성군 보성읍 대야리 산156-1,34.76428786,127.0253936,,정상가동,99.2,380,60,2016,,2016-10-14,전라남도 보성군,24390,2025-11-03
DY 태양광발전소,,전라남도 보성군 보성읍 대야리 산156-1,34.76428786,127.0253936,,정상가동,99.2,380,60,2016,,2016-10-14,전라남도 보성군,24390,2025-11-03
JK 태양광발전소,,전라남도 보성군 보성읍 대야리 1115-27,34.76285024,127.0253026,,정상가동,99.2,380,60,2016,,2016-10-14,전라남도 보성군,24390,2025-11-03
SO 태양광발전소,,전라남도 보성군 보성읍 대야리 산156-1,34.76428786,127.0253936,,정상가동,99.2,380,60,2016,,2016-10-14,전라남도 보성군,24390,2025-11-03
SH 태양광발전소,,전라남도 보성군 보성읍 대야리 산156-1,34.76428786,127.0253936,,정상가동,99.2,380,60,2016,,2016-10-14,전라남도 보성군,24390,2025-11-03
DJ 태양광발전소,,전라남도 보성군 보성읍 대야리 1115-30,34.76233435,127.0250659,,정상가동,99.2,380,60,2016,,2016-10-14,전라남도 보성군,24390,2025-11-03
더함3호 태양광발전소,,전라남도 보성군 보성읍 대야리 산157-2,34.76395541,127.026749,,정상가동,997.92,22900,60,2016,,2016-11-08,전라남도 보성군,15836,2025-11-03
금성 태양광발전소,,전라남도 보성군 보성읍 대야리 산157,34.76515698,127.0268859,,정상가동,997.92,22900,60,2016,,2016-11-08,전라남도 보성군,15836,2025-11-03
해담 태양광발전소,,전라남도 보성군 보성읍 대야리 산157-3,34.76301508,127.0268877,,정상가동,997.92,22900,60,2016,,2016-11-08,전라남도 보성군,15837,2025-11-03
일광 태양광발전소,전라남도 보성군 득량면 파청길 73-43(예당리 1283-1),,34.787032,127.1849337,,정상가동,9.52,380,60,2016,,2016-11-08,전라남도 보성군,660,2025-11-03
합신봉황 태양광발전소,,전라남도 보성군 벌교읍 장양리 817,34.84760465,127.3654982,,정상가동,19.53,380,60,2016,,2016-11-08,전라남도 보성군,955,2025-11-03
일주태양광㈜,,"전라남도 보성군 벌교읍 영등리 131,126-1,131-1,132-3,132-4,132-6,132-7132-8,132-9,132-10",34.81221763,127.3860598,,정상가동,999.0,380,60,2016,,2017-01-20,전라남도 보성군,29566,2025-11-03
천일 태양광발전소,,전라남도 보성군 회천면 천포리 산77-1,34.71113975,127.1285627,,폐기,648.225,380,60,2016,,2017-01-24,전라남도 보성군,9848,2025-11-03
천일 2 태양광발전소,,전라남도 보성군 회천면 천포리 산77 나,34.71969135,127.1352212,,폐기,361.8,380,60,2016,,2017-01-24,전라남도 보성군,9987,2025-11-03
숙원 태양광발전소,,전라남도 보성군 회천면 천포리 산77 가,34.71969135,127.1352212,,폐기,361.8,380,60,2016,,2017-01-24,전라남도 보성군,9987,2025-11-03
일림 태양광발전소,,"전라남도 보성군 웅치면 용반리 산101-3,103,104",34.69994809,127.0200338,,정상가동,999.0,22900,60,2016,,2017-01-25,전라남도 보성군,21388,2025-11-03
꿈의 태양광발전소 1호,,"전라남도 보성군 벌교읍 영등리 산98,장암리 산 134",34.80517581,127.3884225,,정상가동,450.24,380,60,2016,,2017-01-25,전라남도 보성군,14144,2025-11-03
