태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
㈜디원 태양광발전소,광주광역시 북구 동운로32번길 24,,,,,정상가동,99.36,380,60,2013,발전사업용,,,,2026-01-13
한성 태양광발전소,광주광역시 북구 첨단벤처로 28번길 13,,,,,정상가동,70.2,380,60,2013,발전사업용,,,,2026-01-13
기린물류센터 태양광발전소,광주광역시 북구 하서로 523번길 95,,,,,정상가동,99.375,380,60,2013,발전사업용,,,,2026-01-13
연정 태양광발전소,광주광역시 북구 빛고을대로 768-1,,,,,정상가동,45,380,60,2013,발전사업용,,,,2026-01-13
그린홈 태양광발전소,광주광역시 북구 고운로13번길 13,,,,,정상가동,11.16,380,60,2014,발전사업용,,,,2026-01-13
미봉 H.T 솔라에너지 태양광발전소,광주광역시 북구 첨단벤처소로38번길 6,,,,,정상가동,99,380,60,2014,발전사업용,,,,2026-01-13
정우쏠라태양광발전소,광주광역시 북구 첨단벤처소로38번길 29,,,,,정상가동,31.02,380,60,2014,발전사업용,,,,2026-01-13
일월 태양광발전소,광주광역시 북구 하서로466번길 8,,,,,정상가동,36,380,60,2014,발전사업용,,,,2026-01-13
은선태양광발전소,광주광역시 북구 첨단벤처소로38번길 27,,,,,정상가동,34.185,380,60,2014,발전사업용,,,,2026-01-13
박기창 우석빌딩태양광발전소,광주광역시 북구 동문대로 169,,,,,정상가동,25.85,380,60,2014,발전사업용,,,,2026-01-13
㈜가람이앤씨태양광발전소,광주광역시 북구 삼소로270번길 24,,,,,정상가동,249.9,380,60,2014,발전사업용,,,,2026-01-13
㈜도시환경이엔지태양광발전소2호기,광주광역시 북구 첨단벤처소로38번길 20-14,,,,,정상가동,91.8,380,60,2014,발전사업용,,,,2026-01-13
신세계 태양광발전소,광주광역시 북구 서방로19번길9-9+10-18,,,,,정상가동,49.14,380,60,2014,발전사업용,,,,2026-01-13
서울 태양광발전소,광주광역시 북구 서방로19번길 9-7,,,,,정상가동,30.16,380,60,2014,발전사업용,,,,2026-01-13
군왕로94 태양광발전소,광주광역시 북구 군왕로 94,,,,,정상가동,12,380,60,2014,발전사업용,,,,2026-01-13
승원 태양광발전소,광주광역시 북구 첨단벤처소로15번길 26,,,,,정상가동,99.11,380,60,2014,발전사업용,,,,2026-01-13
소윤 태양광발전소,광주광역시 북구 첨단벤처소로15번길 26,,,,,정상가동,99.11,380,60,2014,발전사업용,,,,2026-01-13
준희 태양광발전소,광주광역시 북구 첨단벤처소로15번길 46,,,,,정상가동,99.11,380,60,2014,발전사업용,,,,2026-01-13
이화태양광발전소,광주광역시 북구 첨단연신로 352,,,,,정상가동,400.68,380,60,2014,발전사업용,,,,2026-01-13
본촌태양광발전소,광주광역시 북구 본촌마을길 136,,,,,정상가동,50,380,60,2014,발전사업용,,,,2026-01-13
금파태양광발전소,광주광역시 북구 첨단벤처소로38번길 27-5,,,,,정상가동,47.7,380,60,2014,발전사업용,,,,2026-01-13
MRT태양광발전소,광주광역시 북구 첨단연신로 12,,,,,정상가동,99,380,60,2014,발전사업용,,,,2026-01-13
쏠라텍태양광발전소,광주광역시 북구 첨단벤처로28번길 6,,,,,정상가동,65.985,380,60,2014,발전사업용,,,,2026-01-13
삼흥태양광발전소,광주광역시 북구 우치로 5,,,,,정상가동,18,380,60,2014,발전사업용,,,,2026-01-13
란태양광발전소,광주광역시 북구 신흥로 28-3,,,,,정상가동,10,380,60,2014,발전사업용,,,,2026-01-13
대성태양광발전소,광주광역시 북구 대천로 2,,,,,정상가동,12,380,60,2014,발전사업용,,,,2026-01-13
㈜광진이앤씨태양광발전소,광주광역시 북구 첨단연신로 24,,,,,정상가동,345,380,60,2014,발전사업용,,,,2026-01-13
용봉에너지태양광발전소,광주광역시 북구 호동로15번길 68,,,,,정상가동,6,380,60,2014,발전사업용,,,,2026-01-13
첨단태양광발전소,광주광역시 북구 첨단연신로 340,,,,,정상가동,803.4,380,60,2014,발전사업용,,,,2026-01-13
태홍태양광발전소,광주광역시 북구 하서로672번길 18-12,,,,,정상가동,33.825,380,60,2014,발전사업용,,,,2026-01-13
한울빛태양광발전소,,광주광역시 북구 지야동 805-7,,,,정상가동,92.4,380,60,2014,발전사업용,,,,2026-01-13
기준태양광발전소,광주광역시 북구 서강로67번길 19-4,,,,,정상가동,29.68,380,60,2014,발전사업용,,,,2026-01-13
신광태양광발전소,광주광역시 북구 첨단벤처로 150,,,,,정상가동,98.05,380,60,2014,발전사업용,,,,2026-01-13
운성태양광발전소,광주광역시 북구 면앙로31번길 1,,,,,정상가동,71.76,380,60,2014,발전사업용,,,,2026-01-13
대은태양광발전소,광주광역시 북구 하서로 652-17,,,,,정상가동,99,380,60,2014,발전사업용,,,,2026-01-13
운암태양광발전소,광주광역시 북구 운신북길 141,,,,,정상가동,29,380,60,2014,발전사업용,,,,2026-01-13
해광태양광발전소,광주광역시 북구 첨단연신로 361,,,,,정상가동,99,380,60,2014,발전사업용,,,,2026-01-13
케이엘텍태양광발전소,광주광역시 북구 첨단벤처로16번길 27,,,,,정상가동,50.35,380,60,2014,발전사업용,,,,2026-01-13
창호태양광발전소,광주광역시 북구 하서로523번길 115,,,,,정상가동,99,380,60,2014,발전사업용,,,,2026-01-13
금강태양광발전소,광주광역시 북구 하서로672번길 8,,,,,정상가동,57.6,380,60,2014,발전사업용,,,,2026-01-13
광주화물터미널태양광발전소,광주광역시 북구 동문대로 280,,,,,정상가동,99,380,60,2014,발전사업용,,,,2026-01-13
덕중태양광발전소,광주광역시 북구 북문대로 241,,,,,정상가동,30,380,60,2014,발전사업용,,,,2026-01-13
용봉아울렛태양광발전소,광주광역시 북구 설죽로 173,,,,,정상가동,98.56,380,60,2014,발전사업용,,,,2026-01-13
아이에스텍태양광발전소,광주광역시 북구 첨단벤처소로15번길 19,,,,,정상가동,97.74,380,60,2014,발전사업용,,,,2026-01-13
고려태양광발전소,광주광역시 북구 하서로216번길 6,,,,,정상가동,64.8,380,60,2014,발전사업용,,,,2026-01-13
제일2호태양광발전소,광주광역시 북구 첨단벤처소로 51,,,,,정상가동,318.24,380,60,2014,발전사업용,,,,2026-01-13
에스이에스태양광발전소4호(각화),,광주광역시 북구 각화동 173-4+169-2+170-3번지,,,,정상가동,200,380,60,2014,발전사업용,,,,2026-01-13
문화태양광발전소,광주광역시 북구 하서로672번길 18-29,,,,,정상가동,80.85,380,60,2015,발전사업용,,,,2026-01-13
에이탑쏠라,광주광역시 북구 첨단벤처소로38번길 33-7,,,,,정상가동,63,380,60,2015,발전사업용,,,,2026-01-13
한경태양광발전소,광주광역시 북구 북문대로 144,,,,,정상가동,99,380,60,2015,발전사업용,,,,2026-01-13
대박태양광발전소,광주광역시 북구 양일로18번길 20 (연제동),광주광역시 북구 연제동 1091번지,,,,정상가동,97.2,380,60,2015,발전사업용,,,,2026-01-13
영선태양광발전소,광주광역시 북구 하서로672번길 18-24,,,,,정상가동,85.28,380,60,2015,발전사업용,,,,2026-01-13
해드림1태양광발전소,광주광역시 북구 고운로 17,,,,,정상가동,29.25,380,60,2015,발전사업용,,,,2026-01-13
해드림2태양광발전소,광주광역시 북구 고운로 15,,,,,정상가동,65,380,60,2015,발전사업용,,,,2026-01-13
보성태양광발전소,광주광역시 북구 추암로 183,,,,,정상가동,99,380,60,2015,발전사업용,,,,2026-01-13
금상태양광발전소,광주광역시 북구 동운로32번길 39,,,,,정상가동,50,380,60,2015,발전사업용,,,,2026-01-13
영재태양광발전소,광주광역시 북구 추암로 183,,,,,정상가동,99,380,60,2015,발전사업용,,,,2026-01-13
영주태양광발전소,광주광역시 북구 첨단벤처로28번길 1,,,,,정상가동,97.2,380,60,2015,발전사업용,,,,2026-01-13
주영태양광발전소,광주광역시 북구 첨단벤처로28번길 1,,,,,정상가동,56.7,380,60,2015,발전사업용,,,,2026-01-13
이엠태양광발전소,광주광역시 북구 양일로 180,,,,,정상가동,97.2,380,60,2015,발전사업용,,,,2026-01-13
에이엠특장태양광발전소,광주광역시 북구 추암로 225,,,,,정상가동,99.36,380,60,2015,발전사업용,,,,2026-01-13
명성태양광발전소,,광주광역시 북구 지야동 800-16,,,,정상가동,75.6,380,60,2015,발전사업용,,,,2026-01-13
송주솔텍,광주광역시 북구 첨단벤처로60번길 17,,,,,정상가동,493.92,380,60,2015,발전사업용,,,,2026-01-13
상록수태양광발전소,광주광역시 북구 우치로 357,,,,,정상가동,19.84,380,60,2015,발전사업용,,,,2026-01-13
길인태양광발전소,광주광역시 북구 동운로213번길 27-1,,,,,정상가동,24.8,380,60,2015,발전사업용,,,,2026-01-13
창성ENG태양광발전소,광주광역시 북구 첨단벤처소로15번길 15,,,,,정상가동,99,380,60,2015,발전사업용,,,,2026-01-13
PJC솔라 태양광발전소,광주광역시 북구 동문대로134번길 54-5,,,,,정상가동,16.2,380,60,2015,발전사업용,,,,2026-01-13
만성전기 태양광발전소,광주광역시 북구 양일로18번길 3,,,,,정상가동,351.5,380,60,2015,발전사업용,,,,2026-01-13
용봉 태양광발전소,광주광역시 북구 저불로73번길 30-3,,,,,정상가동,50.4,380,60,2016,발전사업용,,,,2026-01-13
센도리제2태양광발전소,광주광역시 북구 첨단연신로30번길 46,,,,,정상가동,79.36,380,60,2016,발전사업용,,,,2026-01-13
햇누리태양광발전소,광주광역시 북구 양지마을길 23,,,,,정상가동,25.2,380,60,2016,발전사업용,,,,2026-01-13
장덕태양광발전소,광주광역시 북구 유림로 176-1,,,,,정상가동,42.24,380,60,2016,발전사업용,,,,2026-01-13
배원태양광발전소,광주광역시 북구 하남대로 727,,,,,정상가동,98.28,380,60,2016,발전사업용,,,,2026-01-13
금곡2태양광발전소,,광주광역시 북구 금곡동 19-2+19-5번지,,,,정상가동,49.6,380,60,2016,발전사업용,,,,2026-01-13
뉴바이오태양광발전소,광주광역시 북구 첨단벤처로108번길 50,,,,,정상가동,178.56,380,60,2016,발전사업용,,,,2026-01-13
금빛태양광발전소,광주광역시 북구 양일로 148-14,,,,,정상가동,99.2,380,60,2016,발전사업용,,,,2026-01-13
탑텍코리아태양광발전소,광주광역시 북구 첨단연신로77번길 1,,,,,정상가동,99,380,60,2016,발전사업용,,,,2026-01-13
호남태양광발전소,광주광역시 북구 제봉로 277,,,,,정상가동,29.68,380,60,2017,발전사업용,,,,2026-01-13
대승태양광발전소,광주광역시 북구 금호로24번길 8 (운암동),광주광역시 북구 운암동 1-1+1-5+1-43+1-44번지,,,,정상가동,30.72,380,60,2017,발전사업용,,,,2026-01-13
노무사유동태양광발전소,광주광역시 북구 금재로 25-4,,,,,정상가동,18.15,380,60,2017,발전사업용,,,,2026-01-13
대호태양광발전소,광주광역시 북구 무등로88번길 7,,,,,정상가동,51,380,60,2017,발전사업용,,,,2026-01-13
조일태양광발전소,광주광역시 북구 빛고을대로 679,,,,,정상가동,98.49,380,60,2017,발전사업용,,,,2026-01-13
썬빌리지태양광발전소,,광주광역시 북구 연제동 237,,,,정상가동,35.28,380,60,2017,발전사업용,,,,2026-01-13
화진태양광발전소,,광주광역시 북구 용전동 1211-6,,,,정상가동,98.49,380,60,2017,발전사업용,,,,2026-01-13
해밀태양광발전소,광주광역시 북구 첨단벤처소로15번길 42,,,,,정상가동,99.16,380,60,2017,발전사업용,,,,2026-01-13
센도리제3태양광발전소,광주광역시 북구 양산로71번길 10,,,,,정상가동,99.2,380,60,2017,발전사업용,,,,2026-01-13
신광태양광발전소2호,광주광역시 북구 첨단벤처로 150,,,,,정상가동,99.11,380,60,2017,발전사업용,,,,2026-01-13
태광에너지 태양광발전소,광주광역시 북구 경양로 192,,,,,정상가동,19.84,380,60,2017,발전사업용,,,,2026-01-13
스타에너지 태양광발전소,광주광역시 북구 추암로 229,,,,,정상가동,81.2,380,60,2017,발전사업용,,,,2026-01-13
정일ENG 태양광발전소,,광주광역시 북구 용전동 1212-11,,,,정상가동,233.92,380,60,2017,발전사업용,,,,2026-01-13
㈜선호 태양광발전소,광주광역시 북구 양산로 198,,,,,정상가동,60.06,380,60,2017,발전사업용,,,,2026-01-13
제이엠제이2호 태양광발전소,광주광역시 북구 신촌마을길73번길 25-2,,,,,정상가동,45.9,380,60,2017,발전사업용,,,,2026-01-13
강청 태양광발전소,광주광역시 북구 양일로 137-1,,,,,정상가동,76.38,380,60,2017,발전사업용,,,,2026-01-13
SEA에너지 태양광발전소,광주광역시 북구 서방로39번길 75,,,,,정상가동,19.095,380,60,2017,발전사업용,,,,2026-01-13
주식회사 파크솔라,광주광역시 북구 추암로 143,,,,,정상가동,178.22,380,60,2017,발전사업용,,,,2026-01-13
주식회사 썬비즈,광주광역시 북구 첨단벤처로60번길 31,,,,,정상가동,496.47,380,60,2017,발전사업용,,,,2026-01-13
자연 태양광발전소,광주광역시 북구 하서로 817,,,,,정상가동,96,380,60,2017,발전사업용,,,,2026-01-13
다은 태양광발전소,광주광역시 북구 첨단벤처소로62번길 1,,,,,정상가동,96.48,380,60,2017,발전사업용,,,,2026-01-13
동진 태양광발전소,광주광역시 북구 하서로 271,,,,,정상가동,19.72,380,60,2017,발전사업용,,,,2026-01-13
삼신엔지니어링 태양광발전소,광주광역시 북구 동운로52번길 33,,,,,정상가동,39.76,380,60,2017,발전사업용,,,,2026-01-13
에이엠특장2호 태양광발전소,광주광역시 북구 삼소로270번길 42,,,,,정상가동,99.16,380,60,2017,발전사업용,,,,2026-01-13
JK빌딩 태양광발전소,광주광역시 북구 연양로 67,,,,,정상가동,49.7,380,60,2017,발전사업용,,,,2026-01-13
주식회사덕환 태양광발전소,광주광역시 북구 연양로 71,,,,,정상가동,57.51,380,60,2017,발전사업용,,,,2026-01-13
청우 태양광발전소,광주광역시 북구 신촌로23번길 51,,,,,정상가동,48.24,380,60,2017,발전사업용,,,,2026-01-13
영은 태양광발전소,,광주광역시 북구 지야동 805-13,,,,정상가동,97.82,380,60,2018,발전사업용,,,,2026-01-13
일출 태양광발전소,광주광역시 북구 양산택지로33번길 30+30-1,,,,,정상가동,45.36,380,60,2018,발전사업용,,,,2026-01-13
알파 태양광발전소,광주광역시 북구 운신남길 308-1,,,,,정상가동,11.52,380,60,2018,발전사업용,,,,2026-01-13
SW 태양광발전소,광주광역시 북구 양산택지로 52,,,,,정상가동,39.6,380,60,2018,발전사업용,,,,2026-01-13
㈜신영에너텍 태양광발전소,광주광역시 북구 양일로 147-40,,,,,정상가동,294.4,380,60,2018,발전사업용,,,,2026-01-13
글로벌에너지,광주광역시 북구 첨단벤처소로15번길 3,,,,,정상가동,96.9,380,60,2018,발전사업용,,,,2026-01-13
탑솔라2호 태양광발전소,광주광역시 북구 첨단연신로30번길 38,,,,,정상가동,242.72,380,60,2018,발전사업용,,,,2026-01-13
호신솔라테크 태양광발전소,광주광역시 북구 하서로 567-3,,,,,정상가동,57.6,380,60,2018,발전사업용,,,,2026-01-13
태양에너지 발전소,광주광역시 북구 면앙로121번길 110,,,,,정상가동,10.08,380,60,2018,발전사업용,,,,2026-01-13
디오빌 태양광발전소,광주광역시 북구 문화소통로108번길 59,,,,,정상가동,19.88,380,60,2018,발전사업용,,,,2026-01-13
두암1호 태양광발전소,광주광역시 북구 삼정로 139,,,,,정상가동,15.3,380,60,2018,발전사업용,,,,2026-01-13
㈜덕의 태양광발전소,광주광역시 북구 빛고을대로 931,,,,,정상가동,54.72,380,60,2018,발전사업용,,,,2026-01-13
정철 태양광발전소,광주광역시 북구 하서로672번길 18-29,,,,,정상가동,97.92,380,60,2018,발전사업용,,,,2026-01-13
용주골 태양광발전소,광주광역시 북구 고운로5번길 42-1,,,,,정상가동,19.32,380,60,2018,발전사업용,,,,2026-01-13
스마일 태양광발전소,광주광역시 북구 문화소통로108번길 82,,,,,정상가동,15.3,380,60,2018,발전사업용,,,,2026-01-13
우리꼴 태양광발전소,광주광역시 북구 하서로523번길 52,,,,,정상가동,48.96,380,60,2018,발전사업용,,,,2026-01-13
㈜디에이치글로벌 첨단공장 태양광발전소,광주광역시 북구 첨단연신로29번길 36,,,,,정상가동,1144.44,22900,60,2018,발전사업용,,,,2026-01-13
태화태양광발전소,광주광역시 북구 양산택지로51번길 7,,,,,정상가동,19.44,380,60,2018,발전사업용,,,,2026-01-13
(유)제이디시에너지,광주광역시 북구 첨단벤처로60번길 10,,,,,정상가동,343.44,380,60,2018,발전사업용,,,,2026-01-13
씨앤피개발 태양광발전소,광주광역시 북구 설죽로370번길 26,,,,,정상가동,54,380,60,2018,발전사업용,,,,2026-01-13
한백 태양광발전소,광주광역시 북구 자산로 62,,,,,정상가동,44.1,380,60,2018,발전사업용,,,,2026-01-13
용전 진 태양광발전소,광주광역시 북구 용전마을길 78,,,,,정상가동,43.8,380,60,2018,발전사업용,,,,2026-01-13
서울창호 태양광발전소,광주광역시 북구 동운로52번길 63+65,,,,,정상가동,97.2,380,60,2018,발전사업용,,,,2026-01-13
㈜광일1호 태양광발전소,광주광역시 북구 자동차로47번길 68,,,,,정상가동,14.555,380,60,2018,발전사업용,,,,2026-01-13
신흥골재산업 태양광발전소,광주광역시 북구 면앙로 151,,,,,정상가동,9.045,380,60,2018,발전사업용,,,,2026-01-13
세광 태양광발전소,,광주광역시 북구 월출동 253-1+253-2,,,,정상가동,40.8,380,60,2018,발전사업용,,,,2026-01-13
동부 태양광발전소,광주광역시 북구 하서로 567-4,,,,,정상가동,38.88,380,60,2018,발전사업용,,,,2026-01-13
매곡중앙 태양광발전소,광주광역시 북구 어매마을길17번길 19,,,,,정상가동,30.6,380,60,2018,발전사업용,,,,2026-01-13
동림태양광발전소,광주광역시 북구 북문대로232번길 9-5,,,,,정상가동,19.71,380,60,2018,발전사업용,,,,2026-01-13
리빙 태양광발전소,광주광역시 북구 서강로131번길 19,,,,,정상가동,19.32,380,60,2018,발전사업용,,,,2026-01-13
남해태양광발전소,광주광역시 북구 첨단벤처로 94,,,,,정상가동,136,380,60,2018,발전사업용,,,,2026-01-13
경희 태양광발전소,광주광역시 북구 우치로2번길 9-5,,,,,정상가동,19.5,380,60,2018,발전사업용,,,,2026-01-13
낙원교회 태양광발전소,광주광역시 북구 용주로30번길 103-1,,,,,정상가동,30.66,380,60,2018,발전사업용,,,,2026-01-13
㈜디원 (디원2 태양광발전소),광주광역시 북구 동운로32번길 24,,,,,정상가동,97.5,380,60,2019,발전사업용,,,,2026-01-13
㈜에이치디에너지,광주광역시 북구 첨단연신로 76,,,,,정상가동,317.55,380,60,2019,발전사업용,,,,2026-01-13
재훈태양광발전소,광주광역시 북구 금호로24번길 10,,,,,정상가동,29.88,380,60,2019,발전사업용,,,,2026-01-13
티엠씨태양광발전소,광주광역시 북구 첨단벤처소로37번길 61-3,,,,,정상가동,200.64,380,60,2019,발전사업용,,,,2026-01-13
㈜월출산2태양광발전소,광주광역시 북구 추암로 69+제C동,,,,,정상가동,46.9,380,60,2019,발전사업용,,,,2026-01-13
에스제이연제 태양광발전소,광주광역시 북구 양일로18번길 24,,,,,정상가동,498.6,380,60,2019,발전사업용,,,,2026-01-13
스카이 태양광 발전소,광주광역시 북구 매곡로 76,,,,,정상가동,30.6,380,60,2019,발전사업용,,,,2026-01-13
서산태양광발전소,광주광역시 북구 첨단연신로29번길 10,,,,,정상가동,99.36,380,60,2019,발전사업용,,,,2026-01-13
㈜화인특장1호 태양광발전소,,광주광역시 북구 연제동 1052,,,,정상가동,235.425,380,60,2019,발전사업용,,,,2026-01-13
㈜화인특장2호 태양광발전소,,광주광역시 북구 연제동 1051,,,,정상가동,98.55,380,60,2019,발전사업용,,,,2026-01-13
카본텍㈜ 태양광발전소,광주광역시 북구 첨단벤처로28번길 27,,,,,정상가동,213.84,22900,60,2019,발전사업용,,,,2026-01-13
다원태양광발전소,광주광역시 북구 첨단벤처로40번길 24,,,,,정상가동,294.84,380,60,2019,발전사업용,,,,2026-01-13
씨앗태양광발전소,광주광역시 북구 양산로 71,,,,,정상가동,29.92,380,60,2019,발전사업용,,,,2026-01-13
프로전장 태양광발전소,광주광역시 북구 첨단벤처소로38번길 27-4,,,,,정상가동,64,380,60,2019,발전사업용,,,,2026-01-13
성원에너지 태양광발전소,광주광역시 북구 첨단벤처소로62번길 12-4+6-3,,,,,정상가동,79.56,380,60,2019,발전사업용,,,,2026-01-13
알파 태양광발전소,광주광역시 북구 새터마을길 32,,,,,정상가동,97.2,380,60,2019,발전사업용,,,,2026-01-13
에스비 태양광발전소,광주광역시 북구 첨단벤처로28번길 26,,,,,정상가동,96.94,380,60,2019,발전사업용,,,,2026-01-13
첨단해미래 태양광발전소,광주광역시 북구 첨단벤처소로15번길 42,,,,,정상가동,76.05,380,60,2019,발전사업용,,,,2026-01-13
율원2 태양광발전소,광주광역시 북구 첨단벤처로60번길 40+주 1동,,,,,정상가동,136.08,380,60,2019,발전사업용,,,,2026-01-13
세오 태양광발전소,광주광역시 북구 첨단벤처로16번길 7,,,,,정상가동,81.9,380,60,2019,발전사업용,,,,2026-01-13
남양3호 태양광발전소,광주광역시 북구 하서로523번길 99,,,,,정상가동,77,380,60,2019,발전사업용,,,,2026-01-13
남양4호 태양광발전소,광주광역시 북구 하서로523번길 99,,,,,정상가동,36,380,60,2019,발전사업용,,,,2026-01-13
무진 태양광발전소,광주광역시 북구 첨단벤처로40번길12,,,,,정상가동,165.71,380,60,2019,발전사업용,,,,2026-01-13
캠프타임 태양광발전소,광주광역시 북구 양산로 200-1,,,,,정상가동,138.7,380,60,2019,발전사업용,,,,2026-01-13
